Player,Season,GP,TOI,CF,CA,CF60,CA60,CF%,CSh%,CSv%,FF,FA,FF60,FA60,FF%,FSh%,FSv%,SF,SA,SF60,SA60,SF%,Sh%,Sv%,xGF,xGA,xGF60,xGA60,xGF%,xFSh%,xFSv%,Adj.FSv%,SCF,SCA,SCF60,SCA60,SCF%,PDO,xPDO,GF,GA,GF60,GA60,GF%,FO%,PENDIFF
AARON.EKBLAD,20142015,81,1387.63,1301,1117,56.25,48.3,53.8,4.53,96.06,998,873,43.15,37.75,53.34,5.91,94.96,772,630,33.38,27.24,55.06,7.64,93.02,56.18,47.46,2.43,2.05,54.21,5.63,94.56,0.4,153,138,6.62,5.97,52.58,100.66,100.19,59,44,2.55,1.9,57.28,47.76,26
AARON.EKBLAD,20152016,78,1294.57,1058,1031,49.04,47.78,50.65,5.29,95.83,843,817,39.07,37.87,50.78,6.64,94.74,620,575,28.74,26.65,51.88,9.03,92.52,47.15,46.72,2.19,2.17,50.23,5.59,94.28,0.46,153,155,7.09,7.18,49.68,101.55,99.87,56,43,2.6,1.99,56.57,50.91,18
AARON.GAGNON,20112012,7,64.06,72,58,67.44,54.32,55.38,0,98.28,53,40,49.64,37.46,56.99,0,97.5,31,29,29.04,27.16,51.67,0,96.55,3.26,2.48,3.05,2.32,56.78,6.15,93.8,3.7,11,9,10.3,8.43,55,96.55,99.95,0,1,0,0.94,0,48,2
AARON.GAGNON,20122013,17.08333333,123.9566667,109.3333333,105.9166667,52.92,51.27,50.79,7.81,95.16,75.16666667,75.16666667,36.38,36.38,50,11.36,93.18,51.25,49.54166667,24.81,23.98,50.85,16.67,89.66,3.51,2.41,2.9,2,59.27,7.98,94.52,-1.33,20.5,10.25,9.92,4.96,66.67,106.32,102.5,8.541666667,5.125,4.13,2.48,62.5,56.52,5.125
AARON.JOHNSON,20112012,56,754.18,633,707,50.36,56.25,47.24,4.27,94.77,484,524,38.51,41.69,48.02,5.58,92.94,358,393,28.48,31.27,47.67,7.54,90.59,32.42,29.69,2.58,2.36,52.2,6.7,94.33,-1.4,120,99,9.55,7.88,54.79,98.13,101.03,27,37,2.15,2.94,42.19,49.47,1
AARON.JOHNSON,20122013,17.08333333,224.065,249.4166667,164,66.79,43.92,60.33,2.74,95.83,175.9583333,121.2916667,47.12,32.48,59.2,3.88,94.37,124.7083333,88.83333333,33.39,23.79,58.4,5.48,92.31,5.55,4.95,2.54,2.27,52.84,5.39,93.02,1.34,30.75,29.04166667,8.23,7.78,51.43,97.79,98.41,6.833333333,6.833333333,1.83,1.83,50,55.26,-3.416666667
AARON.NESS,20112012,9,140.92,106,149,45.13,63.44,41.57,2.83,97.99,77,110,32.78,46.84,41.18,3.9,97.27,46,78,19.59,33.21,37.1,6.52,96.15,5.02,5.81,2.14,2.47,46.35,6.52,94.72,2.55,21,22,8.94,9.37,48.84,102.68,101.24,3,3,1.28,1.28,50,44.64,-5
AARON.NESS,20132014,20,260.94,252,271,57.94,62.31,48.18,1.19,95.2,179,203,41.16,46.68,46.86,1.68,93.6,123,143,28.28,32.88,46.24,2.44,90.91,10.97,11.37,2.52,2.61,49.11,6.13,94.4,-0.8,42,41,9.66,9.43,50.6,93.35,100.53,3,13,0.69,2.99,18.75,44.74,-7
AARON.NESS,20152016,8,96.35,98,86,61.03,53.55,53.26,6.12,97.67,63,64,39.23,39.85,49.61,9.52,96.88,45,39,28.02,24.29,53.57,13.33,94.87,3.55,3.93,2.21,2.45,47.48,5.64,93.86,3.01,15,15,9.34,9.34,50,108.21,99.5,6,2,3.74,1.25,75,51.61,-3
AARON.PALUSHAJ,20112012,38,280.5,295,234,63.1,50.05,55.77,2.71,97.01,189,168,40.43,35.94,52.94,4.23,95.83,128,115,27.38,24.6,52.67,6.25,93.91,9.16,9.64,1.96,2.06,48.72,4.85,94.26,1.57,26,36,5.56,7.7,41.94,100.16,99.11,8,7,1.71,1.5,53.33,47.77,-5
