Player,Season,OZS,DZS,NZS,OTF,OZS%,DZS%,NZS%,ZSR,OZF,DZF,NZF,OZF%,DZF%,NZF%,ZFR,TOI%,TOI.QoT,CF.QoT,xGF.QoT,TOI.QoC,CF.QoC,xGF.QoC
AARON.EKBLAD,20142015,522,338,436,970,40.28,26.08,33.64,60.7,591,475,388,40.65,32.67,26.69,55.44,36.3,28.34,49.54,48.05,28.83,49.24,49.2
AARON.EKBLAD,20152016,457,362,497,743,34.73,27.51,37.77,55.8,491,447,356,37.94,34.54,27.51,52.35,36.15,28.47,48.65,49.02,29.05,49.96,49.95
AARON.GAGNON,20112012,18,13,19,58,36,26,38,58.06,18,27,11,32.14,48.21,19.64,40,18.97,29.45,50.27,49.7,28.36,48.5,48.33
AARON.GAGNON,20122013,27.33333333,49.54166667,41,116.1666667,23.19,42.03,34.78,35.56,42.70833333,51.25,34.16666667,33.33,40,26.67,45.45,15.05,26.53,48.45,46.32,27.51,48.7,48.49
AARON.JOHNSON,20112012,180,228,257,597,27.07,34.29,38.65,44.12,243,291,214,32.49,38.9,28.61,45.51,29.5,27.03,47.34,47.77,29.07,50.1,50.03
AARON.JOHNSON,20122013,75.16666667,51.25,68.33333333,199.875,38.6,26.32,35.09,59.46,93.95833333,80.29166667,46.125,42.64,36.43,20.93,53.92,27.98,27.93,52.24,51.37,28.58,49.73,49.68
AARON.NESS,20112012,35,33,44,102,31.25,29.46,39.29,51.47,30,54,33,25.64,46.15,28.21,35.71,31.85,28.67,47.56,49.64,29.61,50.41,50.03
AARON.NESS,20132014,82,75,71,246,35.96,32.89,31.14,52.23,101,129,64,34.35,43.88,21.77,43.91,27.29,26.34,49.05,48.58,28.36,49.7,49.55
AARON.NESS,20152016,25,12,25,101,40.32,19.35,40.32,67.57,26,34,24,30.95,40.48,28.57,43.33,26.03,24.61,50.32,49.93,27.32,47.46,47.47
AARON.PALUSHAJ,20112012,63,67,94,258,28.12,29.91,41.96,48.46,102,93,85,36.43,33.21,30.36,52.31,17.65,27.08,46.76,46.13,27.86,48.96,48.58
AARON.PALUSHAJ,20122013,138.375,152.0416667,145.2083333,387.7916667,31.76,34.9,33.33,47.65,172.5416667,150.3333333,121.2916667,38.85,33.85,27.31,53.44,21.38,29.28,48.72,47.74,28.4,49.55,50.24
AARON.ROME,20112012,124,166,163,467,27.37,36.64,35.98,42.76,174,208,175,31.24,37.34,31.42,45.55,29.63,27.36,52.31,47.76,28.42,49.69,49.74
AARON.ROME,20122013,158.875,225.5,235.75,480.0416667,25.62,36.36,38.02,41.33,227.2083333,281.875,169.125,33.5,41.56,24.94,44.63,29.24,27.2,49.3,47.51,28.74,49.91,49.98
AARON.ROME,20132014,108,97,96,238,35.88,32.23,31.89,52.68,114,121,83,35.85,38.05,26.1,48.51,26.26,26.93,50.54,49.83,28.69,49.68,49.95
AARON.VOLPATTI,20112012,17,62,65,203,11.81,43.06,45.14,21.52,47,75,53,26.86,42.86,30.29,38.52,19.59,27.14,49.05,44.62,27.85,48.53,49.23
AARON.VOLPATTI,20122013,100.7916667,138.375,169.125,353.625,24.69,33.89,41.42,42.14,160.5833333,167.4166667,124.7083333,35.47,36.98,27.55,48.96,18.14,28.15,47.61,46.03,28.19,49.8,49.33
AARON.VOLPATTI,20132014,82,74,116,211,30.15,27.21,42.65,52.56,94,111,82,32.75,38.68,28.57,45.85,16.19,26.81,48.18,47.69,27.23,48.54,48.14
ADAM.BURISH,20112012,184,246,224,523,28.13,37.61,34.25,42.79,227,261,176,34.19,39.31,26.51,46.52,22.64,29.11,50.65,49.58,28.75,49.98,49.96
