Player,Season,OTOI,OCF,OCA,OCF60,OCA60,OCF%,OCSh%,OCSv%,OFF,OFA,OFF60,OFA60,OFF%,OFSh%,OFSv%,OSF,OSA,OSF60,OSA60,OSF%,OSh%,OSv%,OxGF,OxGA,OxGF60,OxGA60,OxGF%,OxFSh%,OxFSv%,OSCF,OSCA,OSCF60,OSCA60,OSCF%,OGF,OGA,OGF60,OGA60,OGF%,OOZS,ODZS,ONZS,OZSR
AARON.EKBLAD,20142015,2435.5,2194,2191,54.05,53.98,50.03,3.65,95.62,1661,1672,40.92,41.19,49.83,4.82,94.26,1193,1198,29.39,29.51,49.9,6.71,91.99,92.84,94.47,2.29,2.33,49.57,5.59,94.35,276,274,6.8,6.75,50.18,80,96,1.97,2.37,45.45,739,876,920,45.76
AARON.EKBLAD,20152016,2286.71,1876,2062,49.22,54.1,47.64,5.06,96.9,1470,1600,38.57,41.98,47.88,6.46,96,1082,1164,28.39,30.54,48.17,8.78,94.5,84.93,90.97,2.23,2.39,48.28,5.78,94.31,283,293,7.43,7.69,49.13,95,64,2.49,1.68,59.75,650,819,791,44.25
AARON.GAGNON,20112012,273.57,232,268,50.88,58.78,46.4,2.16,97.76,155,187,33.99,41.01,45.32,3.23,96.79,101,133,22.15,29.17,43.16,4.95,95.49,7.91,10.42,1.73,2.29,43.14,5.1,94.43,26,34,5.7,7.46,43.33,5,6,1.1,1.32,45.45,67,94,77,41.61
AARON.GAGNON,20122013,699.8529167,686.75,702.125,58.88,60.19,49.45,4.73,95.38,493.7083333,519.3333333,42.33,44.52,48.74,6.57,93.75,336.5416667,363.875,28.85,31.2,48.05,9.64,91.08,32.27041667,34.1325,2.77,2.93,48.6,6.54,93.43,105.9166667,107.625,9.08,9.23,49.6,32.45833333,32.45833333,2.78,2.78,50,199.875,196.4583333,252.8333333,50.43
AARON.JOHNSON,20112012,1802.24,1539,1656,51.24,55.13,48.17,4.16,95.47,1176,1243,39.15,41.38,48.62,5.44,93.97,875,929,29.13,30.93,48.5,7.31,91.93,70,69.78,2.33,2.32,50.08,5.95,94.39,224,221,7.46,7.36,50.34,64,75,2.13,2.5,46.04,485,569,647,46.02
AARON.JOHNSON,20122013,576.7504167,616.7083333,478.3333333,64.16,49.76,56.32,3.6,96.07,440.75,346.7916667,45.85,36.08,55.97,5.04,94.58,310.9166667,259.6666667,32.35,27.01,54.49,7.14,92.76,25.96666667,20.5,2.7,2.13,55.89,5.89,94.09,82,70.04166667,8.53,7.29,53.93,22.20833333,18.79166667,2.31,1.95,54.17,206.7083333,198.1666667,198.1666667,51.05
AARON.NESS,20112012,301.56,270,302,53.72,60.09,47.2,1.85,96.36,204,222,40.59,44.17,47.89,2.45,95.05,150,161,29.84,32.03,48.23,3.33,93.17,14.85,13.2,2.95,2.63,52.94,7.28,94.05,63,51,12.53,10.15,55.26,5,11,0.99,2.19,31.25,93,105,90,46.97
AARON.NESS,20132014,695.38,621,668,53.58,57.64,48.18,4.03,96.41,442,478,38.14,41.24,48.04,5.66,94.98,324,338,27.96,29.16,48.94,7.72,92.9,27.65,26.75,2.39,2.31,50.82,6.26,94.4,107,83,9.23,7.16,56.32,25,24,2.16,2.07,51.02,178,233,229,43.31
AARON.NESS,20152016,273.76,258,257,56.55,56.33,50.1,4.65,96.5,198,189,43.4,41.42,51.16,6.06,95.24,143,138,31.34,30.25,50.89,8.39,93.48,11.44,11.44,2.51,2.51,50.01,5.78,93.95,42,46,9.21,10.08,47.73,12,9,2.63,1.97,57.14,81,88,108,47.93
AARON.PALUSHAJ,20112012,1308.97,1207,1367,55.33,62.66,46.89,3.65,96.71,854,981,39.15,44.97,46.54,5.15,95.41,610,706,27.96,32.36,46.35,7.21,93.63,47.11,56.7,2.16,2.6,45.38,5.52,94.22,144,190,6.6,8.71,43.11,44,45,2.02,2.06,49.44,393,412,459,48.82
AARON.PALUSHAJ,20122013,1612.854583,1445.25,1581.916667,53.76,58.85,47.74,3.19,95.68,1043.791667,1163.375,38.83,43.28,47.29,4.42,94.13,755.0833333,826.8333333,28.09,30.76,47.73,6.11,91.74,59.72333333,68.35041667,2.22,2.54,46.63,5.72,94.12,170.8333333,215.25,6.36,8.01,44.25,46.125,68.33333333,1.72,2.54,40.3,476.625,471.5,539.8333333,50.27
AARON.ROME,20112012,1342.81,1295,1126,57.86,50.31,53.49,4.32,96.45,929,868,41.51,38.78,51.7,6.03,95.39,654,667,29.22,29.8,49.51,8.56,94,49.62,53.97,2.22,2.41,47.9,5.34,93.78,156,200,6.97,8.94,43.82,56,40,2.5,1.79,58.33,430,375,485,53.42
AARON.ROME,20122013,1474.71875,1306.875,1433.291667,53.17,58.31,47.69,5.36,95.71,934.4583333,1086.5,38.02,44.21,46.24,7.5,94.34,637.2083333,736.2916667,25.93,29.96,46.39,10.99,91.65,57.12666667,72.02333333,2.32,2.93,44.23,6.11,93.37,184.5,239.1666667,7.51,9.73,43.55,70.04166667,61.5,2.85,2.5,53.25,430.5,457.8333333,495.4166667,48.46
AARON.ROME,20132014,820.78,808,730,59.07,53.36,52.54,3.96,96.44,596,528,43.57,38.6,53.02,5.37,95.08,434,367,31.73,26.83,54.18,7.37,92.92,36.46,33.94,2.67,2.48,51.79,6.12,93.57,126,114,9.21,8.33,52.5,32,26,2.34,1.9,55.17,264,245,313,51.87
AARON.VOLPATTI,20112012,814.66,897,655,66.06,48.24,57.8,4.01,95.57,664,509,48.9,37.49,56.61,5.42,94.3,470,393,34.62,28.94,54.46,7.66,92.62,38.71,31.33,2.85,2.31,55.27,5.83,93.84,117,115,8.62,8.47,50.43,36,29,2.65,2.14,55.38,292,234,294,55.51
AARON.VOLPATTI,20122013,2060.40375,1968,1918.458333,57.31,55.87,50.64,5.21,96.17,1445.25,1411.083333,42.09,41.09,50.6,7.09,94.79,1036.958333,1067.708333,30.2,31.09,49.27,9.88,93.12,89.80708333,86.18541667,2.62,2.51,51.03,6.21,93.89,293.8333333,292.125,8.56,8.51,50.15,102.5,73.45833333,2.98,2.14,58.25,719.2083333,690.1666667,758.5,51.03
AARON.VOLPATTI,20132014,1540.35,1462,1512,56.95,58.9,49.16,4.31,96.16,1085,1143,42.26,44.52,48.7,5.81,94.93,765,861,29.8,33.54,47.05,8.24,93.26,60.43,65.05,2.35,2.53,48.16,5.57,94.31,188,213,7.32,8.3,46.88,63,58,2.45,2.26,52.07,480,497,523,49.13
ADAM.BURISH,20112012,2326.49,2128,2229,54.88,57.49,48.84,3.99,95.87,1567,1611,40.41,41.55,49.31,5.42,94.29,1104,1151,28.47,29.68,48.96,7.7,92.01,81.65,90.69,2.11,2.34,47.38,5.21,94.37,254,299,6.55,7.71,45.93,85,92,2.19,2.37,48.02,641,682,798,48.45
ADAM.BURISH,20122013,2946.789583,3069.875,2685.5,62.51,54.68,53.34,3.73,96.12,2243.041667,1918.458333,45.67,39.06,53.9,5.1,94.57,1585.333333,1364.958333,32.28,27.79,53.73,7.22,92.37,133.7966667,107.67625,2.72,2.19,55.41,5.97,94.39,392.9166667,302.375,8,6.16,56.51,114.4583333,104.2083333,2.33,2.12,52.34,1023.291667,908.8333333,1014.75,52.96
ADAM.BURISH,20132014,551.5,644,465,70.06,50.59,58.07,5.12,96.77,478,330,52,35.9,59.16,6.9,95.45,343,249,37.32,27.09,57.94,9.62,93.98,32.36,20.29,3.52,2.21,61.47,6.77,93.85,112,58,12.18,6.31,65.88,33,15,3.59,1.63,68.75,207,179,215,53.63
