Player,Season,Age
PATRICK.KANE,20152016,27
JAMIE.BENN,20152016,26
SIDNEY.CROSBY,20152016,28
JOE.THORNTON,20152016,36
ERIK.KARLSSON,20152016,25
JOE.PAVELSKI,20152016,31
JOHNNY.GAUDREAU,20152016,22
BLAKE.WHEELER,20152016,29
ARTEMI.PANARIN,20152016,24
EVGENY.KUZNETSOV,20152016,23
BRENT.BURNS,20152016,30
VLADIMIR.TARASENKO,20152016,24
ANZE.KOPITAR,20152016,28
TYLER.SEGUIN,20152016,24
ALEX.OVECHKIN,20152016,30
JOHN.TAVARES,20152016,25
NICKLAS.BACKSTROM,20152016,28
PATRICE.BERGERON,20152016,30
CLAUDE.GIROUX,20152016,28
KRIS.LETANG,20152016,28
NIKITA.KUCHEROV,20152016,22
JAROMIR.JAGR,20152016,43
TAYLOR.HALL,20152016,24
STEVEN.STAMKOS,20152016,25
FILIP.FORSBERG,20152016,21
MAX.PACIORETTY,20152016,27
KYLE.OKPOSO,20152016,27
JASON.SPEZZA,20152016,32
LOUI.ERIKSSON,20152016,30
SEAN.MONAHAN,20152016,21
DAVID.KREJCI,20152016,29
RYAN.GETZLAF,20152016,30
COREY.PERRY,20152016,30
JEFF.CARTER,20152016,31
BRAD.MARCHAND,20152016,27
MARK.SCHEIFELE,20152016,22
DANIEL.SEDIN,20152016,35
MATS.ZUCCARELLO,20152016,28
MARK.STONE,20152016,23
ROMAN.JOSI,20152016,25
WAYNE.SIMMONDS,20152016,27
RYAN.O'REILLY,20152016,24
JUSSI.JOKINEN,20152016,32
RYAN.JOHANSEN,20152016,23
MATT.DUCHENE,20152016,25
MIKE.HOFFMAN,20152016,26
ALEKSANDER.BARKOV,20152016,20
PHIL.KESSEL,20152016,28
BRAYDEN.SCHENN,20152016,24
JONATHAN.HUBERDEAU,20152016,22
JAMES.NEAL,20152016,28
TYLER.TOFFOLI,20152016,23
JONATHAN.TOEWS,20152016,27
DERICK.BRASSARD,20152016,28
EVGENI.MALKIN,20152016,29
JOHN.KLINGBERG,20152016,23
KYLE.PALMIERI,20152016,24
ALEX.GALCHENYUK,20152016,21
JACK.EICHEL,20152016,19
BOBBY.RYAN,20152016,28
MARK.GIORDANO,20152016,32
MIKKO.KOIVU,20152016,32
OLIVER.EKMAN-LARSSON,20152016,24
MILAN.LUCIC,20152016,27
PATRICK.SHARP,20152016,34
HENRIK.SEDIN,20152016,35
JAKUB.VORACEK,20152016,26
TOMAS.PLEKANEC,20152016,33
BRANDON.SAAD,20152016,23
CAM.ATKINSON,20152016,26
ZACH.PARISE,20152016,31
VINCENT.TROCHECK,20152016,22
DEREK.STEPAN,20152016,25
RYAN.KESLER,20152016,31
GABRIEL.LANDESKOG,20152016,23
DUSTIN.BYFUGLIEN,20152016,30
JUSTIN.WILLIAMS,20152016,34
NATHAN.MACKINNON,20152016,20
FRANS.NIELSEN,20152016,31
MAX.DOMI,20152016,20
ALEX.STEEN,20152016,31
JEFF.SKINNER,20152016,23
T.J..OSHIE,20152016,29
PATRIC.HORNQVIST,20152016,29
MIKA.ZIBANEJAD,20152016,22
SHEA.WEBER,20152016,30
LEON.DRAISAITL,20152016,20
LEE.STEMPNIAK,20152016,32
MIKKEL.BOEDKER,20152016,26
DREW.DOUGHTY,20152016,26
CARL.SODERBERG,20152016,30
RYAN.SUTER,20152016,31
P.K..SUBBAN,20152016,26
ADAM.HENRIQUE,20152016,25
REILLY.SMITH,20152016,24
HENRIK.ZETTERBERG,20152016,35
MIKE.RIBEIRO,20152016,35
BOONE.JENNER,20152016,22
SCOTT.HARTNELL,20152016,33
PAVEL.DATSYUK,20152016,37
BRENT.SEABROOK,20152016,30
TYSON.BARRIE,20152016,24
RYAN.SPOONER,20152016,24
PAUL.STASTNY,20152016,30
PATRICK.MARLEAU,20152016,36
VICTOR.RASK,20152016,22
JORDAN.STAAL,20152016,27
BRANDON.DUBINSKY,20152016,29
CONNOR.MCDAVID,20152016,19
SHANE.DOAN,20152016,39
JORDAN.EBERLE,20152016,25
JAROME.IGINLA,20152016,38
MIKAEL.BACKLUND,20152016,26
VICTOR.HEDMAN,20152016,25
KEITH.YANDLE,20152016,29
ANDREW.LADD,20152016,30
TOMAS.HERTL,20152016,22
SHAYNE.GOSTISBEHERE,20152016,22
MARCUS.JOHANSSON,20152016,25
JIRI.HUDLER,20152016,32
DYLAN.LARKIN,20152016,19
DAVID.BACKES,20152016,31
TOMAS.TATAR,20152016,25
NAZEM.KADRI,20152016,25
TJ.BRODIE,20152016,25
ANTHONY.DUCLAIR,20152016,20
JOE.COLBORNE,20152016,26
KEVIN.SHATTENKIRK,20152016,27
MIKAEL.GRANLUND,20152016,23
ANDREI.MARKOV,20152016,37
TOREY.KRUG,20152016,24
J.T..MILLER,20152016,22
CHRIS.KREIDER,20152016,24
JOEL.WARD,20152016,35
NINO.NIEDERREITER,20152016,23
RICKARD.RAKELL,20152016,22
JEAN-GABRIEL.PAGEAU,20152016,23
GUSTAV.NYQUIST,20152016,26
TEDDY.PURCELL,20152016,30
DOUGIE.HAMILTON,20152016,22
DUNCAN.KEITH,20152016,32
SAM.REINHART,20152016,20
CHARLIE.COYLE,20152016,23
ARTEM.ANISIMOV,20152016,27
JUSTIN.ABDELKADER,20152016,28
BRYAN.LITTLE,20152016,28
TRAVIS.ZAJAC,20152016,30
PIERRE-ALEX.PARENTEAU,20152016,32
THOMAS.VANEK,20152016,32
MARTIN.HANZAL,20152016,28
MATHIEU.PERREAULT,20152016,28
RASMUS.RISTOLAINEN,20152016,21
BROCK.NELSON,20152016,24
JASON.CHIMERA,20152016,36
BRENDAN.GALLAGHER,20152016,23
CHRIS.KUNITZ,20152016,36
BO.HORVAT,20152016,20
ONDREJ.PALAT,20152016,24
ALEX.KILLORN,20152016,26
JAKE.MUZZIN,20152016,26
ALEX.WENNBERG,20152016,21
NICK.LEDDY,20152016,24
JAMIE.MCGINN,20152016,27
JAKOB.SILFVERBERG,20152016,25
TROY.BROUWER,20152016,30
CARL.HAGELIN,20152016,27
ALES.HEMSKY,20152016,32
ERIC.STAAL,20152016,31
SEAN.COUTURIER,20152016,23
ELIAS.LINDHOLM,20152016,21
JOHN.CARLSON,20152016,26
MARC-EDOUARD.VLASIC,20152016,28
JANNIK.HANSEN,20152016,29
DREW.STAFFORD,20152016,30
ANDRE.BURAKOVSKY,20152016,20
ANTOINE.VERMETTE,20152016,33
NIKOLAJ.EHLERS,20152016,19
KRIS.VERSTEEG,20152016,29
MIKE.CAMMALLERI,20152016,33
TYLER.JOHNSON,20152016,25
SAMI.VATANEN,20152016,24
CRAIG.SMITH,20152016,26
ROBBY.FABBRI,20152016,20
JUSTIN.FAULK,20152016,23
MATT.BELESKEY,20152016,27
TOBIAS.RIEDER,20152016,23
NICK.FOLIGNO,20152016,28
ZDENO.CHARA,20152016,38
ALEX.PIETRANGELO,20152016,26
ALEX.GOLIGOSKI,20152016,30
ZACK.SMITH,20152016,27
LEO.KOMAROV,20152016,29
SAM.BENNETT,20152016,19
LOGAN.COUTURE,20152016,26
AARON.EKBLAD,20152016,19
ANDERS.LEE,20152016,25
RICK.NASH,20152016,31
TANNER.PEARSON,20152016,23
KEVIN.HAYES,20152016,23
BENOIT.POULIOT,20152016,29
BLAKE.COMEAU,20152016,29
DAVID.PERRON,20152016,27
JOONAS.DONSKOI,20152016,23
JASON.POMINVILLE,20152016,33
MORGAN.RIELLY,20152016,21
MICHAEL.STONE,20152016,25
EVANDER.KANE,20152016,24
CODY.EAKIN,20152016,24
VLADISLAV.NAMESTNIKOV,20152016,23
TEUVO.TERAVAINEN,20152016,21
TYLER.BOZAK,20152016,29
MATTIAS.EKHOLM,20152016,25
ALEX.TANGUAY,20152016,36
MIKE.GREEN,20152016,30
NICK.BJUGSTAD,20152016,23
ERIK.HAULA,20152016,24
ANDREW.SHAW,20152016,24
RYAN.NUGENT-HOPKINS,20152016,22
JORI.LEHTERA,20152016,28
RYAN.MCDONAGH,20152016,26
ANTON.STRALMAN,20152016,29
FRANCOIS.BEAUCHEMIN,20152016,35
MARIAN.HOSSA,20152016,37
BRIAN.GIONTA,20152016,37
COLTON.PARAYKO,20152016,22
MATT.CULLEN,20152016,39
MICHAEL.FROLIK,20152016,27
JOSH.BAILEY,20152016,26
RYAN.ELLIS,20152016,25
ANDREW.COGLIANO,20152016,28
MATT.NISKANEN,20152016,29
DION.PHANEUF,20152016,30
MICHAEL.RAFFL,20152016,27
BRAD.RICHARDSON,20152016,30
ALEC.MARTINEZ,20152016,28
VALTTERI.FILPPULA,20152016,31
JAKE.GARDINER,20152016,25
BRIAN.CAMPBELL,20152016,36
SETH.JONES,20152016,21
CALLE.JARNKROK,20152016,24
KYLE.TURRIS,20152016,26
JESPER.FAST,20152016,24
CASEY.CIZIKAS,20152016,24
ANDREJ.SEKERA,20152016,29
