Player,Season,PP_TOI,PP_G,PP_A1,PP_A2,PP_A,PP_P,PP_P1,PP_G60,PP_A160,PP_A260,PP_A60,PP_P60,PP_P160,PP_iCF,PP_iCF60,PP_iCSh%,PP_iFF,PP_iFF60,PP_iFSh%,PP_iSF,PP_iSF60,PP_iSh%,PP_ixG,PP_ixG60,PP_ixFSh%,PP_iSCF,PP_iSCF60,PP_iHF,PP_iHA,PP_iGVA,PP_iTKA,PP_iBLK,PP_iFOW,PP_iFOL,PP_iFO%,PP_iPENT,PP_iPEND,PP_iPENDIFF,PP_iRB,PP_iRS,PP_Avg.DIST
AARON.EKBLAD,20142015,225.46,6,1,5,6,12,7,1.6,0.27,1.33,1.6,3.19,1.86,78,20.76,7.69,54,14.37,11.11,37,9.85,16.22,3.23,0.86,5.98,5,1.33,4,6,2,2,2,0,0,0,2,0,-2,3,2,43.19
AARON.EKBLAD,20152016,220.95,2,2,3,5,7,4,0.54,0.54,0.81,1.36,1.9,1.09,73,19.82,2.74,48,13.03,4.17,34,9.23,5.88,3.02,0.82,6.3,9,2.44,4,9,3,1,1,0,0,0,2,0,-2,0,1,43.89
AARON.JOHNSON,20112012,58.58,1,1,0,1,2,2,1.02,1.02,0,1.02,2.05,2.05,21,21.51,4.76,15,15.36,6.67,12,12.29,8.33,0.85,0.88,5.7,2,2.05,5,2,2,0,0,0,0,0,0,0,0,1,0,44.43
ADAM.BURISH,20112012,36.09,0,1,1,2,2,1,0,1.66,1.66,3.33,3.33,1.66,3,4.99,0,3,4.99,0,2,3.33,0,0.61,1.02,20.48,3,4.99,0,0,0,0,0,11,9,55,3,0,-3,0,0,9.64
ADAM.CLENDENING,20142015,45.74,1,1,1,2,3,2,1.31,1.31,1.31,2.62,3.94,2.62,10,13.12,10,5,6.56,20,2,2.62,50,0.31,0.41,6.21,0,0,0,1,1,0,1,0,0,0,1,0,-1,0,1,37.86
ADAM.HENRIQUE,20112012,135.85,0,4,4,8,8,4,0,1.77,1.77,3.53,3.53,1.77,19,8.39,0,17,7.51,0,10,4.42,0,2.2,0.97,12.95,11,4.86,2,5,1,3,1,32,29,52.46,0,0,0,1,2,19.12
ADAM.HENRIQUE,20122013,200.54125,5.125,1.708333333,0,1.708333333,6.833333333,6.833333333,1.53,0.51,0,0.51,2.04,2.04,51.25,15.33,10,42.70833333,12.78,12,27.33333333,8.18,18.75,4.168333333,1.25,9.78,13.66666667,4.09,0,3.416666667,8.541666667,0,0,68.33333333,78.58333333,46.51,1.708333333,0,-1.708333333,3.416666667,0,24.98
ADAM.HENRIQUE,20132014,177.27,7,2,3,5,12,9,2.37,0.68,1.02,1.69,4.06,3.05,34,11.51,20.59,29,9.82,24.14,24,8.12,29.17,3.84,1.3,13.25,16,5.42,2,4,7,2,0,62,77,44.6,1,0,-1,4,0,23.46
ADAM.HENRIQUE,20142015,135.86,5,6,4,10,15,11,2.21,2.65,1.77,4.42,6.62,4.86,26,11.48,19.23,22,9.72,22.73,13,5.74,38.46,3.34,1.48,15.18,16,7.07,2,4,5,0,1,29,20,59.18,1,0,-1,1,0,16.16
ADAM.HENRIQUE,20152016,199.04,5,2,2,4,9,7,1.51,0.6,0.6,1.21,2.71,2.11,31,9.34,16.13,25,7.54,20,19,5.73,26.32,2.6,0.78,10.39,12,3.62,6,8,5,2,0,78,80,49.37,0,2,2,1,0,27.06
